timestamp,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2,activity
36380,0.1707764,-0.9022218,-0.3424073,-5.126952,-10.864256,23.25439,0.148682,0.97815,0.005249,0.244141,-0.915527,-21.24023,1_Nod_Abha
36420,0.14379884,-0.906128,-0.3472901,-6.16455,-14.282224,28.38134,0.12439,0.982666,0.00354,0.854492,0.0,-24.16992,1_Nod_Abha
36460,0.11572268,-0.9075928,-0.3526612,-7.690428,-16.41846,31.73828,0.107056,0.988037,0.0,1.708984,0.732422,-27.221676,1_Nod_Abha
36500,0.0917969,-0.9073488,-0.3583985,-9.399414,-18.615724,36.438,0.083496,0.980835,-0.002686,1.89209,1.586914,-32.47071,1_Nod_Abha
36540,0.05529786,-0.8996584,-0.3669434,-10.375976,-20.1416,39.97804,0.056885,0.984131,-0.005371,1.281738,2.075196,-36.8042,1_Nod_Abha
36580,0.0189209,-0.894043,-0.3760987,-10.375976,-21.3623,40.83251,0.026855,0.983887,-0.006592,0.793457,2.01416,-44.00634,1_Nod_Abha
36620,-0.01977539,-0.8927004,-0.3837891,-10.80322,-24.47509,44.9829,-0.020264,0.982788,-0.006592,0.427246,2.258301,-46.75292,1_Nod_Abha
36660,-0.05187989,-0.8813478,-0.3856202,-12.512204,-27.77099,49.56054,-0.058716,0.98291,-0.004639,0.732422,2.990722,-48.76708,1_Nod_Abha
36700,-0.09204104,-0.8707276,-0.3892823,-13.97705,-30.82275,53.28368,-0.093628,0.981201,-0.005981,1.342773,3.967285,-53.46678,1_Nod_Abha
36740,-0.1424561,-0.857544,-0.3894044,-14.526364,-32.04346,55.54198,-0.129761,0.963013,-0.008301,0.732422,5.004884,-59.44824,1_Nod_Abha
36780,-0.1970215,-0.8403322,-0.394043,-15.747068,-33.44727,59.08202,-0.168823,0.953736,-0.011963,0.183105,6.28662,-64.27004,1_Nod_Abha
36820,-0.2788086,-0.8131104,-0.4041748,-15.86914,-34.11866,60.97411,-0.207886,0.947632,-0.017944,0.12207,6.16455,-66.8335,1_Nod_Abha
36900,-0.3894044,-0.7659914,-0.413208,-14.5874,-32.2876,56.82372,-0.336182,0.906494,-0.019409,0.061035,5.554198,-72.44874,1_Nod_Abha
36940,-0.4779053,-0.753296,-0.432129,-14.038084,-31.127924,55.9082,-0.395996,0.885986,-0.019287,-0.366211,5.920409,-69.70216,1_Nod_Abha
36980,-0.5539552,-0.7241212,-0.4345704,-10.92529,-26.36718,44.55566,-0.457275,0.858521,-0.018677,0.366211,5.126952,-66.8335,1_Nod_Abha
37020,-0.5922852,-0.7016602,-0.4311524,-6.103514,-18.06641,40.95458,-0.564697,0.852905,-0.019653,0.549316,4.272462,-65.6128,1_Nod_Abha
37060,-0.616333,-0.6885988,-0.4261475,-5.676268,-13.488768,37.71973,-0.59668,0.827393,-0.023682,1.89209,2.868652,-51.33056,1_Nod_Abha
37100,-0.6486818,-0.6798096,-0.4313965,-4.577638,-9.58252,33.08106,-0.60437,0.822022,-0.025269,2.807617,0.793457,-46.44774,1_Nod_Abha
37140,-0.670166,-0.6601564,-0.4273682,-2.746581,-5.920409,24.71923,-0.60437,0.822022,-0.025269,2.807617,0.793457,-46.44774,1_Nod_Abha
37180,-0.6446534,-0.6461182,-0.416504,0.1220703,-3.295898,17.08985,-0.641358,0.780884,-0.027588,3.967285,-2.441407,-43.82324,1_Nod_Abha
37220,-0.6121826,-0.6483154,-0.4100342,-0.6103516,-4.150392,15.747068,-0.677734,0.765747,-0.03125,3.723144,-4.760742,-36.6211,1_Nod_Abha
37260,-0.5949708,-0.638672,-0.4023438,-1.4648436,-5.676268,17.76123,-0.71228,0.736084,-0.030151,4.394532,-4.028321,-17.08985,1_Nod_Abha
37300,-0.6184084,-0.6411134,-0.4083252,-2.685546,-7.263182,20.1416,-0.71228,0.736084,-0.030151,4.394532,-4.028321,-17.08985,1_Nod_Abha
37340,-0.6912842,-0.6339112,-0.421875,-1.647949,-6.53076,18.615724,-0.680908,0.72107,-0.029419,3.479003,-2.746581,-16.235352,1_Nod_Abha
37380,-0.7281494,-0.6280518,-0.4221192,0.6103516,-2.197266,9.887696,-0.659424,0.716919,-0.028564,3.112792,-2.380371,-19.77539,1_Nod_Abha
37420,-0.725464,-0.6228028,-0.4187012,0.854492,0.3662109,2.990722,-0.762451,0.723022,-0.035034,3.173828,-2.136231,-17.63916,1_Nod_Abha
37460,-0.692505,-0.6215822,-0.4106446,2.197266,1.8920896,-1.586914,-0.781738,0.70874,-0.037109,3.051757,-2.319336,-9.399414,1_Nod_Abha
37500,-0.671875,-0.6138916,-0.4035645,1.708984,1.586914,-3.723144,-0.782227,0.709839,-0.037354,1.953124,-1.647949,-1.647949,1_Nod_Abha
37540,-0.656128,-0.6137696,-0.3981934,1.2207032,0.9155272,-3.051757,-0.755493,0.689575,-0.035767,1.89209,-1.037598,2.502442,1_Nod_Abha
37580,-0.6568604,-0.6208496,-0.4001465,0.6713866,1.281738,-3.417968,-0.730225,0.692627,-0.035522,1.281738,0.061035,4.089356,1_Nod_Abha
37620,-0.6610108,-0.6099854,-0.3979493,1.281738,1.342773,-3.051757,-0.716675,0.691162,-0.03772,0.854492,0.244141,2.990722,1_Nod_Abha
37660,-0.685425,-0.6306154,-0.40625,-0.3662109,1.159668,-3.845214,-0.716187,0.688477,-0.036865,0.244141,-0.061035,3.295898,1_Nod_Abha
37700,-0.6928712,-0.625,-0.4089356,-0.1220703,2.441407,-7.629394,-0.713867,0.697022,-0.037598,0.854492,-0.305176,3.173828,1_Nod_Abha
37740,-0.6844484,-0.6373292,-0.4140626,-0.1220703,3.784179,-14.09912,-0.750366,0.696411,-0.041138,-1.220704,0.305176,4.577638,1_Nod_Abha
37780,-0.6721192,-0.6313478,-0.4180909,1.5258784,4.943848,-16.41846,-0.753174,0.703247,-0.039185,-1.708984,0.610352,8.911134,1_Nod_Abha
37820,-0.6661378,-0.6566164,-0.423584,2.929687,8.056642,-22.583,-0.746704,0.713623,-0.037109,-3.234863,1.831054,13.793944,1_Nod_Abha
37860,-0.6499024,-0.652466,-0.4205323,4.394532,12.145992,-29.235832,-0.723755,0.730957,-0.030151,-1.586914,1.586914,17.33399,1_Nod_Abha
37900,-0.633545,-0.6693116,-0.4230958,5.859374,15.380856,-31.31103,-0.717163,0.734497,-0.03064,-2.197266,1.220704,25.14648,1_Nod_Abha
37940,-0.588501,-0.6827394,-0.4259034,7.873534,17.57813,-36.86524,-0.690308,0.750488,-0.030518,-2.075196,0.0,32.1045,1_Nod_Abha
37980,-0.552002,-0.7044678,-0.4237061,8.422854,17.51709,-38.75733,-0.680054,0.757202,-0.028198,-1.403808,-1.89209,36.37696,1_Nod_Abha
38020,-0.5270996,-0.7282716,-0.4256592,8.117676,17.8833,-41.01562,-0.65857,0.782104,-0.023804,-0.976562,-1.281738,41.44286,1_Nod_Abha
38060,-0.506714,-0.7388916,-0.4290772,8.422854,19.65332,-44.00634,-0.62146,0.788696,-0.022827,-0.671386,-0.549316,43.27392,1_Nod_Abha
38100,-0.4497071,-0.7573244,-0.4282227,9.94873,21.423332,-48.33984,-0.590576,0.806641,-0.02478,-1.525878,0.061035,45.41014,1_Nod_Abha
38140,-0.4152832,-0.7770996,-0.4259034,10.31494,20.935052,-49.25536,-0.54773,0.843506,-0.02002,-1.647949,-0.610352,50.5371,1_Nod_Abha
38180,-0.3715821,-0.80188,-0.421753,11.16943,23.071284,-51.02538,-0.51416,0.854126,-0.016724,-1.586914,0.305176,53.77196,1_Nod_Abha
38220,-0.3334961,-0.8187256,-0.4207764,11.04736,24.29199,-51.45262,-0.493164,0.866333,-0.017578,-1.403808,0.793457,53.58886,1_Nod_Abha
38260,-0.286377,-0.83313,-0.4197998,11.16943,25.39062,-52.91747,-0.493164,0.866333,-0.017578,-1.403808,0.793457,53.58886,1_Nod_Abha
38300,-0.22229008,-0.8393556,-0.4123536,11.352536,25.329584,-52.12402,-0.443115,0.883423,-0.020142,-0.976562,0.0,56.76268,1_Nod_Abha
38340,-0.1591797,-0.8543702,-0.4051514,10.92529,24.04785,-50.65917,-0.405396,0.903809,-0.019409,-1.098633,-1.281738,57.06786,1_Nod_Abha
38380,-0.12353516,-0.8652344,-0.4019776,10.80322,23.37646,-49.19432,-0.276978,0.93811,-0.00769,-1.342773,-2.197266,59.14306,1_Nod_Abha
38420,-0.09033204,-0.8763428,-0.3980713,10.80322,23.13232,-47.11913,-0.276978,0.93811,-0.00769,-1.342773,-2.197266,59.14306,1_Nod_Abha
38460,-0.05212403,-0.8806154,-0.3928223,11.230468,24.35302,-48.21776,-0.230591,0.947876,-0.00647,-1.464844,-1.770019,57.1289,1_Nod_Abha
38500,0.0,-0.8936768,-0.3845215,11.718748,24.04785,-45.71532,-0.185791,0.963989,-0.003784,-1.037598,-1.525878,55.66406,1_Nod_Abha
38540,0.04406739,-0.8894044,-0.3728028,12.390136,24.6582,-46.93602,-0.094727,0.981323,0.00061,-0.305176,-3.295898,55.72509,1_Nod_Abha
38580,0.08337404,-0.8961182,-0.3623047,12.268064,23.37646,-45.22704,-0.057617,0.979004,0.001465,0.549316,-3.967285,52.7954,1_Nod_Abha
38620,0.1369629,-0.893921,-0.3474122,11.840818,22.09472,-43.09081,-0.015991,0.982178,0.001587,0.671386,-3.906249,54.38232,1_Nod_Abha
38660,0.1669922,-0.897461,-0.3341065,11.2915,21.179192,-42.11425,0.024902,0.983154,0.000122,1.098633,-3.479003,52.00194,1_Nod_Abha
38700,0.2154541,-0.899292,-0.3200684,9.70459,19.22608,-38.45216,0.080688,0.976929,-0.001099,1.220704,-3.295898,49.3164,1_Nod_Abha
38740,0.24816896,-0.8995362,-0.310669,8.056642,18.18848,-35.88868,0.114624,0.971558,-0.00415,0.427246,-2.563476,47.91259,1_Nod_Abha
38780,0.2770996,-0.8944092,-0.3022461,6.225584,16.601568,-32.89796,0.158325,0.964478,-0.005859,0.061035,-2.563476,43.88427,1_Nod_Abha
38820,0.300293,-0.8876954,-0.2943116,4.943848,14.95361,-31.06689,0.192017,0.962524,-0.00708,-0.976562,-2.563476,40.77148,1_Nod_Abha
38860,0.3325196,-0.883667,-0.2877198,3.601074,13.122556,-28.1372,0.219971,0.956543,-0.004028,-2.075196,-2.502442,36.98731,1_Nod_Abha
38900,0.3647461,-0.8779298,-0.2814942,2.746581,8.911134,-20.81298,0.251709,0.950073,-0.003296,-2.990722,-1.586914,33.63038,1_Nod_Abha
38940,0.3753662,-0.8735352,-0.27771,1.708984,4.821778,-12.878416,0.276611,0.947266,0.001099,-3.479003,-0.793457,29.113768,1_Nod_Abha
38980,0.3706055,-0.8778076,-0.2790528,0.3051758,1.586914,-7.568358,0.308472,0.956543,0.004395,-2.136231,0.183105,21.423332,1_Nod_Abha
39020,0.3653565,-0.8674318,-0.2799073,-0.427246,0.6713866,-7.385252,0.310547,0.941895,0.003906,-1.037598,0.793457,12.390136,1_Nod_Abha
39060,0.3726807,-0.8653566,-0.282837,0.1220703,-0.18310544,-6.53076,0.3125,0.936646,0.004272,-1.403808,1.586914,6.53076,1_Nod_Abha
39100,0.3785401,-0.8676758,-0.282837,0.06103514,-1.5258784,-3.417968,0.309937,0.93689,0.009644,-1.831054,2.075196,6.835936,1_Nod_Abha
39140,0.3760987,-0.8676758,-0.2847901,-0.7324218,-1.9531248,-0.4882812,0.317383,0.942749,0.012573,-0.732422,2.380371,5.554198,1_Nod_Abha
39180,0.3659668,-0.8634034,-0.2889405,-1.159668,-1.770019,0.9155272,0.327759,0.939453,0.014038,-0.12207,2.380371,2.197266,1_Nod_Abha
39220,0.3612061,-0.8630372,-0.2908936,-0.854492,-0.9155272,1.8920896,0.327759,0.932251,0.016846,-0.244141,1.586914,-1.037598,1_Nod_Abha
39260,0.3560792,-0.866089,-0.2954102,-0.6713866,-0.6713866,2.380371,0.321777,0.937256,0.018188,-0.183105,0.854492,-2.075196,1_Nod_Abha
39300,0.3525391,-0.8685304,-0.2951661,-0.2441406,-0.427246,2.563476,0.31189,0.940064,0.020386,0.183105,-0.549316,-2.746581,1_Nod_Abha
39340,0.3480225,-0.8736574,-0.2943116,-0.2441406,-0.1220703,2.746581,0.302124,0.943726,0.020386,0.366211,-0.732422,-2.746581,1_Nod_Abha
39380,0.3464356,-0.8742676,-0.2935792,-0.6713866,0.0,2.685546,0.299683,0.945068,0.016846,0.854492,-0.915527,-2.746581,1_Nod_Abha
39420,0.3461914,-0.8724366,-0.2937012,-0.6713866,-0.4882812,2.502442,0.296143,0.94336,0.014648,0.732422,-1.220704,-2.929687,1_Nod_Abha
39460,0.3466797,-0.8724366,-0.2934571,-0.5493164,-1.342773,2.502442,0.290772,0.945923,0.013672,0.427246,-1.220704,-2.746581,1_Nod_Abha
39500,0.345459,-0.873291,-0.293335,-0.6713866,-2.563476,4.089356,0.287232,0.943726,0.013428,0.488281,-0.671386,-2.746581,1_Nod_Abha
39540,0.3452149,-0.8779298,-0.2918702,-0.9155272,-2.990722,6.16455,0.287598,0.950073,0.01355,0.488281,0.0,-3.173828,1_Nod_Abha
39580,0.3372803,-0.8812256,-0.2930909,-2.075196,-3.784179,8.178714,0.291138,0.948608,0.012085,1.037598,0.366211,-5.065916,1_Nod_Abha
39620,0.3308106,-0.8837892,-0.2979737,-3.356933,-5.126952,10.742184,0.295288,0.947022,0.009033,1.159668,0.244141,-7.324218,1_Nod_Abha
39660,0.3162842,-0.8698732,-0.2987061,-2.563476,-5.371092,9.33838,0.282471,0.945312,0.008057,0.488281,0.061035,-9.643556,1_Nod_Abha
39700,0.3073731,-0.8791504,-0.3044434,-1.4648436,-5.065916,8.117676,0.274048,0.956299,0.009888,-0.061035,0.549316,-12.878416,1_Nod_Abha
39740,0.3032227,-0.8948976,-0.3078614,-1.647949,-5.676268,11.474608,0.256836,0.952026,0.01123,0.488281,0.976562,-10.80322,1_Nod_Abha
39780,0.2974854,-0.8824464,-0.3060303,-3.356933,-6.713866,14.648436,0.256104,0.963257,0.01001,1.403808,1.159668,-10.131832,1_Nod_Abha
