timestamp,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2,activity
905353,0.9436036,-0.3410645,-0.03527832,0.6713866,-1.770019,-1.5258784,0.876465,0.355225,0.299805,0.305176,2.746581,0.183105,5_Look_Up_Maitreyi
905393,0.9448244,-0.3403321,-0.03515626,0.1220703,-2.0141608,-1.098633,0.880249,0.354858,0.303467,1.098633,2.380371,0.366211,5_Look_Up_Maitreyi
905433,0.9542238,-0.3364258,-0.03796388,0.3662109,-0.9765624,-0.5493164,0.878174,0.346069,0.304443,1.037598,1.708984,0.915527,5_Look_Up_Maitreyi
905473,0.9572754,-0.3361817,-0.04174805,-0.3051758,-1.9531248,1.342773,0.875244,0.339233,0.307983,0.488281,1.953124,0.366211,5_Look_Up_Maitreyi
905513,0.9526368,-0.3387452,-0.04455567,0.06103514,-2.319336,3.723144,0.875244,0.339233,0.307983,0.488281,1.953124,0.366211,5_Look_Up_Maitreyi
905553,0.9378664,-0.3475342,-0.04614258,-0.18310544,-2.075196,4.516602,0.879517,0.344238,0.313477,0.793457,1.342773,-1.037598,5_Look_Up_Maitreyi
905593,0.927124,-0.3576661,-0.04748536,-0.5493164,-1.098633,4.089356,0.880249,0.351074,0.315186,1.220704,2.01416,-3.112792,5_Look_Up_Maitreyi
905633,0.9239504,-0.357544,-0.05126954,-0.9765624,-0.3662109,2.868652,0.872803,0.351685,0.314941,1.586914,1.89209,-5.126952,5_Look_Up_Maitreyi
905673,0.9334718,-0.366333,-0.04858399,-0.6713866,-0.3662109,1.8310544,0.872803,0.351685,0.314941,1.586914,1.89209,-5.126952,5_Look_Up_Maitreyi
905713,0.928467,-0.3635254,-0.05212403,-0.2441406,-0.3051758,1.586914,0.87085,0.360718,0.313843,1.220704,1.220704,-4.943848,5_Look_Up_Maitreyi
905753,0.930298,-0.3625489,-0.04943848,0.2441406,-0.18310544,1.281738,0.862305,0.364502,0.315186,0.488281,0.366211,-3.845214,5_Look_Up_Maitreyi
905793,0.9343262,-0.3638916,-0.04589844,0.3051758,0.793457,1.098633,0.862549,0.37793,0.316528,0.793457,0.183105,-2.319336,5_Look_Up_Maitreyi
905833,0.9335938,-0.366211,-0.039917,-0.1220703,1.342773,1.9531248,0.860718,0.37207,0.314697,1.281738,0.0,-1.89209,5_Look_Up_Maitreyi
905873,0.9298096,-0.3699952,-0.03942872,-0.5493164,1.4648436,2.075196,0.871582,0.369141,0.31311,1.220704,-0.915527,-1.708984,5_Look_Up_Maitreyi
905913,0.923584,-0.374878,-0.04052735,-0.793457,0.854492,1.708984,0.869263,0.370117,0.308228,0.976562,-1.403808,-2.624511,5_Look_Up_Maitreyi
905953,0.9240724,-0.3786622,-0.039917,-0.3051758,-0.06103514,0.18310544,0.860352,0.376099,0.305542,0.610352,-1.525878,-2.807617,5_Look_Up_Maitreyi
905993,0.9289552,-0.3833008,-0.03918458,0.06103514,-0.4882812,-0.3662109,0.851196,0.382446,0.304321,0.427246,-0.976562,-2.380371,5_Look_Up_Maitreyi
906033,0.9265138,-0.3759766,-0.04016114,0.0,-0.18310544,-0.4882812,0.849243,0.386597,0.304199,0.488281,-0.061035,-0.793457,5_Look_Up_Maitreyi
906073,0.9289552,-0.369751,-0.03955078,-0.1220703,0.0,-0.793457,0.862915,0.389282,0.306274,0.732422,0.305176,-0.244141,5_Look_Up_Maitreyi
906113,0.9315186,-0.3634034,-0.04187012,-0.06103514,0.0,-0.854492,0.863037,0.381104,0.306519,0.549316,0.061035,-0.244141,5_Look_Up_Maitreyi
