timestamp,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2,activity
62900,-0.4219971,-0.935547,-0.2714844,13.30566,-3.601074,-13.488768,-0.454956,0.985718,-0.105835,6.896972,1.647949,-2.685546,6_Look_Down_Parthib
62940,-0.4381104,-0.9887696,-0.21496584,15.19775,5.310058,-18.371584,-0.482422,1.022339,-0.150513,9.21631,6.103514,2.197266,6_Look_Down_Parthib
62980,-0.3249512,-1.173218,-0.244751,9.70459,8.300784,-6.40869,-0.463013,0.981323,-0.159912,11.474608,8.72803,14.526364,6_Look_Down_Parthib
63020,-0.2989502,-1.154297,-0.3128662,2.624511,-6.53076,0.7324218,-0.377319,0.984009,-0.218872,12.390136,3.967285,20.62988,6_Look_Down_Parthib
63060,-0.4936524,-1.038208,-0.203125,7.446288,-0.3051758,11.230468,-0.379639,1.08606,-0.246826,8.666994,-4.943848,11.16943,6_Look_Down_Parthib
63100,-0.3977051,-0.985962,-0.1138916,8.48389,14.46533,11.41357,-0.414795,1.2417,-0.188965,2.685546,6.103514,-3.173828,6_Look_Down_Parthib
63140,-0.24572756,-0.8392334,-0.13269048,-0.4882812,7.93457,13.488768,-0.345459,0.940796,-0.304566,11.96289,-14.404296,-5.371092,6_Look_Down_Parthib
63180,-0.2537842,-0.6973878,-0.15612796,-3.479003,1.8920896,14.160152,-0.330444,0.85144,-0.25354,3.356933,-14.5874,-7.141112,6_Look_Down_Parthib
63220,-0.3310547,-0.551758,-0.18164064,-4.882814,-4.821778,16.845708,-0.303223,0.80542,-0.216797,1.586914,-12.3291,-9.94873,6_Look_Down_Parthib
63260,-0.4011231,-0.501709,-0.1962891,-3.234863,-3.601074,11.352536,-0.303223,0.80542,-0.216797,1.586914,-12.3291,-9.94873,6_Look_Down_Parthib
63300,-0.4436036,-0.4711914,-0.17956548,-7.995604,-2.197266,5.310058,-0.364746,0.661377,-0.138916,-1.403808,-6.774902,-13.30566,6_Look_Down_Parthib
63340,-0.4134522,-0.4993897,-0.16149904,-17.57813,-2.746581,15.99121,-0.377075,0.581787,-0.079468,-1.525878,-2.563476,-18.615724,6_Look_Down_Parthib
63380,-0.392212,-0.550293,-0.1369629,-31.127924,-7.629394,39.85596,-0.438721,0.458008,-0.061035,-5.920409,0.366211,-7.141112,6_Look_Down_Parthib
63420,-0.5134278,-0.6676026,-0.1843262,-41.62596,-11.04736,67.44386,-0.438721,0.458008,-0.061035,-5.920409,0.366211,-7.141112,6_Look_Down_Parthib
63460,-0.6427004,-0.8200684,-0.2659912,-43.88427,-9.033204,67.3218,-0.432373,0.45752,-0.069092,-8.48389,-2.441407,-11.352536,6_Look_Down_Parthib
63500,-0.7351074,-1.1358644,-0.3994141,-17.45606,8.789064,21.48437,-0.414673,0.440918,-0.098877,-18.06641,-5.554198,-28.747552,6_Look_Down_Parthib
63540,-0.6744386,-1.2344972,-0.4429932,-11.474608,5.981444,19.77539,-0.725952,0.93689,-0.15271,-30.94482,-20.56884,-62.56102,6_Look_Down_Parthib
63580,-0.6726074,-0.9348146,-0.4232178,-6.896972,1.8310544,11.718748,-0.769287,1.209228,-0.164917,-23.98681,-18.43262,-37.04834,6_Look_Down_Parthib
63620,-0.68042,-0.7587892,-0.3861084,2.319336,-1.342773,3.112792,-0.82251,1.288208,-0.152954,-7.93457,-14.22119,-18.005376,6_Look_Down_Parthib
63660,-0.5891114,-0.6519776,-0.354004,8.72803,-4.333496,-17.15088,-0.782959,1.04773,-0.066284,-3.295898,-6.774902,-10.375976,6_Look_Down_Parthib
63700,-0.5417482,-0.7287598,-0.3096924,16.723632,0.1220703,-26.30615,-0.796631,0.84961,-0.032715,3.540038,0.488281,-1.464844,6_Look_Down_Parthib
63740,-0.5056154,-0.8085938,-0.30542,13.671872,2.563476,-26.24511,-0.678345,0.752197,-0.011475,6.40869,11.96289,17.82227,6_Look_Down_Parthib
63780,-0.4881592,-0.8930664,-0.2905274,9.58252,6.591796,-25.085448,-0.552856,0.785156,-0.058838,11.718748,11.474608,26.61132,6_Look_Down_Parthib
63820,-0.4376221,-0.8985596,-0.2783204,4.089356,10.620116,-26.12304,-0.537842,0.813232,-0.083496,9.643556,8.97217,27.16064,6_Look_Down_Parthib
63860,-0.4597168,-0.872925,-0.2659912,0.2441406,12.390136,-15.014646,-0.482178,0.881714,-0.126343,6.04248,4.272462,26.61132,6_Look_Down_Parthib
63900,-0.489502,-0.807007,-0.23706056,2.807617,18.67676,-16.357424,-0.439819,0.902222,-0.136719,-0.427246,-0.854492,27.343748,6_Look_Down_Parthib
63940,-0.3734131,-0.815918,-0.2382813,2.319336,20.75195,-28.68652,-0.468018,0.901612,-0.14563,-1.525878,-6.28662,17.63916,6_Look_Down_Parthib
63980,-0.2969971,-0.84375,-0.2667237,-4.943848,13.488768,-29.357908,-0.472534,0.839112,-0.150513,1.037598,-11.230468,23.193352,6_Look_Down_Parthib
64020,-0.2388916,-0.8304444,-0.2878418,-7.507323,8.48389,-27.465816,-0.459595,0.789185,-0.128052,-3.051757,-7.812498,34.79004,6_Look_Down_Parthib
