timestamp,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2,activity
2036584,0.4033204,-0.8776856,-0.08666994,5.004884,1.8310544,-47.54638,0.321533,0.898926,-0.130249,0.488281,14.404296,47.60741,1_Nod_Parthib
2036624,0.4406739,-0.8715822,-0.08776856,4.455568,1.4038084,-46.26464,0.341797,0.903198,-0.131958,-1.159668,15.07568,51.02538,1_Nod_Parthib
2036664,0.4888916,-0.8542482,-0.08569336,2.807617,-0.4882812,-39.12354,0.341797,0.903198,-0.131958,-1.159668,15.07568,51.02538,1_Nod_Parthib
2036704,0.4910889,-0.8387452,-0.0930176,3.479003,-2.868652,-34.72901,0.341797,0.903198,-0.131958,-1.159668,15.07568,51.02538,1_Nod_Parthib
2036744,0.52063,-0.8251954,-0.08789064,4.089356,-2.685546,-30.63964,0.459839,0.855713,-0.102173,-2.807617,13.000484,42.23632,1_Nod_Parthib
2036784,0.539673,-0.815674,-0.0852051,4.394532,-1.9531248,-24.16992,0.492066,0.844116,-0.086548,-2.01416,11.96289,32.34864,1_Nod_Parthib
2036824,0.5592042,-0.8214112,-0.08654786,2.319336,-2.0141608,-18.43262,0.496704,0.848022,-0.081787,-0.976562,13.30566,31.67724,1_Nod_Parthib
2036864,0.563965,-0.8013916,-0.08813478,0.4882812,-2.807617,-12.878416,0.558472,0.812622,-0.072876,1.342773,8.72803,20.75195,1_Nod_Parthib
2036904,0.5541994,-0.793213,-0.0897217,0.9155272,-1.8920896,-12.08496,0.570068,0.806519,-0.067261,-0.12207,7.080076,13.427732,1_Nod_Parthib
2036944,0.5578614,-0.7987062,-0.0864258,1.281738,-0.06103514,-10.55908,0.566406,0.805176,-0.06189,-0.366211,6.40869,10.80322,1_Nod_Parthib
2036984,0.572876,-0.7934572,-0.0852051,0.4882812,1.037598,-7.812498,0.572998,0.805908,-0.062378,0.244141,4.760742,10.43701,1_Nod_Parthib
2037024,0.5908204,-0.7906494,-0.08386232,-0.3662109,1.586914,-3.173828,0.57959,0.798096,-0.063599,0.366211,2.441407,9.033204,1_Nod_Parthib
2037064,0.5966798,-0.7874756,-0.0834961,-1.9531248,1.4038084,1.9531248,0.593628,0.793213,-0.059937,0.061035,0.488281,5.798338,1_Nod_Parthib
2037104,0.5926514,-0.7890626,-0.08508302,-2.197266,1.586914,5.249022,0.599121,0.784058,-0.05957,-0.183105,-1.098633,1.342773,1_Nod_Parthib
2037144,0.5878906,-0.7938234,-0.08325196,-2.807617,0.9155272,10.0708,0.604248,0.789795,-0.05835,-0.915527,-2.380371,-2.624511,1_Nod_Parthib
2037184,0.57605,-0.8063966,-0.0852051,-3.540038,-0.6713866,11.108396,0.599487,0.795898,-0.059814,-0.732422,-3.540038,-5.981444,1_Nod_Parthib
2037224,0.5585938,-0.808838,-0.0859375,-4.272462,-0.9765624,12.634276,0.574097,0.793213,-0.06189,-0.854492,-4.150392,-11.04736,1_Nod_Parthib
2037264,0.5469972,-0.798584,-0.0930176,-4.333496,-1.586914,16.17432,0.565064,0.808838,-0.067505,-1.647949,-3.112792,-12.145992,1_Nod_Parthib
2037304,0.5330812,-0.8145754,-0.09899904,-3.601074,-1.647949,13.549804,0.563599,0.812134,-0.066895,-1.525878,-3.967285,-15.930172,1_Nod_Parthib
2037344,0.5289308,-0.826172,-0.0975342,-2.746581,-0.6713866,15.99121,0.530762,0.818604,-0.062378,-1.342773,-3.417968,-15.258788,1_Nod_Parthib
2037384,0.5316164,-0.8284914,-0.09692384,-3.173828,-0.793457,21.3623,0.540405,0.836914,-0.067261,-0.488281,-3.295898,-14.34326,1_Nod_Parthib
2037424,0.5230714,-0.8323976,-0.09606934,-3.967285,-2.563476,27.221676,0.54541,0.837891,-0.070313,0.671386,-5.432128,-17.63916,1_Nod_Parthib
2037464,0.4815674,-0.8519288,-0.09716798,-5.249022,-3.845214,38.33008,0.522705,0.834351,-0.072266,0.915527,-5.981444,-23.559568,1_Nod_Parthib
2037504,0.4384766,-0.8698732,-0.10144044,-7.93457,-3.601074,45.22704,0.528687,0.850708,-0.079102,1.525878,-6.896972,-30.82275,1_Nod_Parthib
2037544,0.414917,-0.883667,-0.11120608,-11.2915,-3.967285,53.10058,0.528687,0.850708,-0.079102,1.525878,-6.896972,-30.82275,1_Nod_Parthib
2037584,0.3681641,-0.8941652,-0.11791992,-11.04736,-5.187988,52.49022,0.528687,0.850708,-0.079102,1.525878,-6.896972,-30.82275,1_Nod_Parthib
2037624,0.3208008,-0.9116212,-0.1282959,-10.68115,-5.981444,51.7578,0.528687,0.850708,-0.079102,1.525878,-6.896972,-30.82275,1_Nod_Parthib
2037664,0.2783204,-0.9404298,-0.1451416,-12.08496,-8.544924,46.56982,0.393921,0.885986,-0.096191,-1.953124,-12.93945,-53.89404,1_Nod_Parthib
2037704,0.2442627,-0.9306642,-0.1505127,-12.93945,-10.375976,43.33495,0.355591,0.914307,-0.103882,-0.976562,-11.535644,-52.36816,1_Nod_Parthib
2037744,0.2172852,-0.9329834,-0.16552736,-13.549804,-11.596676,46.32568,0.237305,0.937988,-0.107666,-3.906249,-5.249022,-47.48534,1_Nod_Parthib
2037784,0.1691895,-0.930298,-0.17883304,-14.038084,-13.06152,47.30224,0.237793,0.94519,-0.103149,-4.455568,-3.967285,-47.18016,1_Nod_Parthib
2037824,0.0996094,-0.9543458,-0.19482424,-13.18359,-13.854978,43.33495,0.183228,0.958496,-0.098267,-4.760742,-3.601074,-50.78124,1_Nod_Parthib
