timestamp,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2,activity
192691,0.4729004,-0.8497316,-0.222168,-0.9765624,-2.563476,2.258301,0.481567,0.866089,-0.018188,-0.549316,-0.427246,-2.197266,1_Nod_Tishha
192731,0.4523926,-0.8391114,-0.21533208,-0.6103516,-2.502442,1.5258784,0.477783,0.869141,-0.018433,-0.366211,0.12207,-1.953124,1_Nod_Tishha
192771,0.46167,-0.845459,-0.22241216,-1.9531248,-4.638672,11.41357,0.491821,0.865356,-0.021851,0.244141,1.464844,-4.333496,1_Nod_Tishha
192811,0.4490967,-0.8448488,-0.22802736,-2.197266,-4.394532,14.95361,0.497803,0.856934,-0.019775,0,0.976562,-7.446288,1_Nod_Tishha
192851,0.4467774,-0.8613282,-0.2331543,-3.051757,-6.16455,25.02441,0.497803,0.856934,-0.019775,0,0.976562,-7.446288,1_Nod_Tishha
192891,0.383545,-0.852417,-0.2352295,-3.051757,-6.225584,34.91212,0.497803,0.856934,-0.019775,0,0.976562,-7.446288,1_Nod_Tishha
192931,0.3321534,-0.8814698,-0.24621584,-3.173828,0.06103514,26.55029,0.497803,0.856934,-0.019775,0,0.976562,-7.446288,1_Nod_Tishha
192971,0.3461914,-0.8812256,-0.24536136,-3.967285,1.9531248,21.11816,0.449951,0.876465,-0.018311,2.441407,-7.324218,-35.4004,1_Nod_Tishha
193011,0.3747559,-0.886963,-0.24658208,-2.136231,-0.1220703,20.62988,0.387695,0.885986,-0.025024,0.610352,-10.19287,-25.26855,1_Nod_Tishha
193052,0.3392334,-0.8826904,-0.2431641,-0.2441406,-5.493162,27.16064,0.368774,0.918701,-0.031494,-0.732422,-9.277344,-18.43262,1_Nod_Tishha
193091,0.2999268,-0.9016114,-0.24621584,-0.9155272,-6.774902,22.3999,0.381104,0.939087,-0.032593,2.258301,-7.202148,-23.193352,1_Nod_Tishha
193131,0.2860108,-0.8994142,-0.2454834,-1.4038084,-6.713866,24.16992,0.327393,0.912232,-0.040894,3.845214,-4.455568,-26.30615,1_Nod_Tishha
193171,0.2913819,-0.9084474,-0.24902348,-1.8310544,-7.202148,32.53174,0.328613,0.928833,-0.045166,2.746581,-2.380371,-23.681636,1_Nod_Tishha
193211,0.2647706,-0.9185792,-0.2546387,-3.784179,-9.70459,40.83251,0.335816,0.932739,-0.043823,3.112792,-4.455568,-28.869624,1_Nod_Tishha
193251,0.1697998,-0.9227296,-0.2631836,-5.126952,-9.82666,43.70116,0.318848,0.936035,-0.046021,3.417968,-6.469726,-37.41456,1_Nod_Tishha
193291,0.15405276,-0.9212648,-0.2709961,-4.455568,-8.72803,39.917,0.256836,0.939453,-0.05127,2.136231,-7.080076,-45.22704,1_Nod_Tishha
193331,0.12768556,-0.9190674,-0.2696534,-3.234863,-8.666994,34.66798,0.196533,0.970459,-0.055176,1.403808,-8.300784,-43.21288,1_Nod_Tishha
193371,0.09020996,-0.9345704,-0.2734376,-2.197266,-7.568358,30.3955,0.168823,0.968994,-0.057007,2.319336,-6.469726,-39.30664,1_Nod_Tishha
193411,0.0654297,-0.9306642,-0.2718506,-2.380371,-6.469726,28.25927,0.144165,0.976929,-0.064087,2.685546,-4.943848,-34.48487,1_Nod_Tishha
193451,0.03759766,-0.9410402,-0.2711182,-3.173828,-5.615234,22.64404,0.129517,0.978882,-0.066895,2.624511,-4.821778,-30.883784,1_Nod_Tishha
193491,0.03088379,-0.9382324,-0.2749024,-3.479003,-5.676268,18.18848,0.088501,0.970581,-0.073242,1.647949,-4.638672,-27.465816,1_Nod_Tishha
