timestamp,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2,activity
1423981,0.9636232,-0.305542,0.013061524,-0.427246,-1.159668,0.1220703,0.937866,0.269409,-0.121948,-0.793457,-0.427246,0.061035,5_Look_up_Parthib
1424021,0.956543,-0.3045655,0.011962892,-0.5493164,-1.342773,0.9155272,0.936646,0.27063,-0.121582,-0.610352,-0.183105,-0.549316,5_Look_up_Parthib
1424061,0.9558106,-0.3070069,0.01062012,-0.5493164,-1.098633,1.8310544,0.940918,0.268555,-0.119507,-0.061035,0.671386,-1.220704,5_Look_up_Parthib
1424101,0.9561768,-0.3093262,0.00793457,-0.3051758,-0.793457,1.8310544,0.942139,0.27124,-0.119751,0.0,0.610352,-2.075196,5_Look_up_Parthib
1424141,0.9534914,-0.3115235,0.008300784,-0.1220703,-0.7324218,2.136231,0.942993,0.274292,-0.118896,0.0,0.12207,-2.563476,5_Look_up_Parthib
1424181,0.953125,-0.3170166,0.008666994,0.2441406,-0.7324218,2.197266,0.936035,0.275757,-0.118896,0.061035,-0.427246,-2.380371,5_Look_up_Parthib
1424221,0.949463,-0.3175049,0.010009768,0.3051758,-0.9155272,1.342773,0.935425,0.281372,-0.119141,0.366211,-0.305176,-2.502442,5_Look_up_Parthib
1424261,0.9517824,-0.322876,0.009887696,0.1220703,-0.7324218,0.0,0.928833,0.283569,-0.121582,0.610352,-0.061035,-2.258301,5_Look_up_Parthib
1424301,0.947632,-0.3222657,0.006347657,-0.3051758,-0.5493164,0.6103516,0.928467,0.283325,-0.123047,0.366211,0.183105,-1.464844,5_Look_up_Parthib
1424341,0.946167,-0.3175049,0.006469728,-0.1220703,-0.427246,0.0,0.938965,0.287109,-0.123535,0.488281,0.366211,-0.549316,5_Look_up_Parthib
1424381,0.9505616,-0.3214112,0.005737306,0.06103514,0.0,-0.4882812,0.928589,0.286255,-0.120728,-0.061035,0.12207,-1.098633,5_Look_up_Parthib
1424421,0.9483644,-0.3199463,0.00720215,-0.2441406,0.18310544,0.3051758,0.929932,0.289307,-0.118896,0.244141,-0.061035,-0.366211,5_Look_up_Parthib
1424461,0.9499512,-0.3181153,0.008422854,-0.06103514,0.3662109,-0.3051758,0.93103,0.286011,-0.119507,0.305176,0.061035,0.0,5_Look_up_Parthib
1424501,0.9517824,-0.3206788,0.008666994,-0.2441406,0.3662109,-0.1220703,0.9375,0.287354,-0.119873,0.061035,-0.183105,-0.488281,5_Look_up_Parthib
1424541,0.9538574,-0.3237305,0.008544924,-0.2441406,0.3051758,0.427246,0.930298,0.284302,-0.119751,0.0,-0.732422,0.12207,5_Look_up_Parthib
1424581,0.9470216,-0.3189698,0.010009768,-0.427246,0.18310544,-0.6103516,0.932373,0.289795,-0.121826,0.427246,-0.12207,-0.12207,5_Look_up_Parthib
1424621,0.9465334,-0.3201905,0.01123047,0.1220703,0.427246,-1.159668,0.92981,0.286743,-0.121948,0.061035,0.305176,-0.610352,5_Look_up_Parthib
1424661,0.9508058,-0.3201905,0.01098633,0.0,0.7324218,-1.098633,0.931274,0.28894,-0.12207,0.244141,0.305176,0.305176,5_Look_up_Parthib
1424701,0.9517824,-0.3164063,0.0144043,-0.18310544,0.9765624,-0.6713866,0.933228,0.285522,-0.122681,0.183105,-0.305176,0.976562,5_Look_up_Parthib
1424741,0.956421,-0.3186036,0.013671876,-0.2441406,0.9765624,-0.2441406,0.933838,0.281738,-0.12207,0.244141,-0.427246,0.976562,5_Look_up_Parthib
1424781,0.95459,-0.3184815,0.016235352,-0.3662109,0.9155272,0.3051758,0.93982,0.281982,-0.123657,0.0,-1.098633,0.793457,5_Look_up_Parthib
1424821,0.9487306,-0.3171387,0.01550293,-0.18310544,0.4882812,-0.18310544,0.935547,0.281128,-0.124146,-0.12207,-1.403808,0.366211,5_Look_up_Parthib
1424861,0.9553224,-0.3206788,0.01733399,0.06103514,0.4882812,0.0,0.931519,0.280762,-0.125855,0.0,-0.915527,-0.12207,5_Look_up_Parthib
1424901,0.9533692,-0.3205567,0.01794434,0.2441406,0.0,-0.427246,0.931396,0.282349,-0.127075,0.366211,-0.854492,0.12207,5_Look_up_Parthib
1424941,0.9487306,-0.319458,0.01855469,0.3051758,-0.6713866,-1.281738,0.934692,0.286499,-0.127441,0.366211,-0.488281,0.183105,5_Look_up_Parthib
1424981,0.9501954,-0.3192139,0.0177002,0.1220703,-0.6713866,-1.4038084,0.92041,0.280884,-0.129761,0.610352,0.183105,0.183105,5_Look_up_Parthib
1425021,0.952881,-0.315796,0.01538086,-0.3051758,-0.18310544,-1.2207032,0.931519,0.281372,-0.128662,0.610352,0.793457,0.732422,5_Look_up_Parthib
1425061,0.9602052,-0.3187256,0.01525879,-0.3662109,-0.2441406,-0.2441406,0.94043,0.279175,-0.126221,0.183105,0.732422,0.549316,5_Look_up_Parthib
1425101,0.9505616,-0.3162842,0.013916016,-0.06103514,-0.06103514,0.4882812,0.943726,0.278198,-0.125488,0.061035,-0.061035,0.793457,5_Look_up_Parthib
1425141,0.952881,-0.3188477,0.013916016,0.2441406,-0.06103514,0.06103514,0.936646,0.284668,-0.124634,0.061035,0.366211,-0.244141,5_Look_up_Parthib
1425181,0.95105,-0.3200684,0.01477051,0.06103514,-0.3662109,-0.3051758,0.93457,0.283081,-0.124268,0.244141,-0.183105,-0.427246,5_Look_up_Parthib
1425221,0.9471436,-0.3200684,0.0144043,0.06103514,-0.793457,-0.4882812,0.932251,0.281128,-0.125488,0.610352,-0.061035,-0.183105,5_Look_up_Parthib
1425261,0.9483644,-0.3216553,0.012084964,-0.18310544,-0.793457,-1.037598,0.928955,0.28186,-0.126099,0.488281,0.305176,-0.244141,5_Look_up_Parthib
1425301,0.9484864,-0.3178711,0.013183596,-0.1220703,-0.6713866,-1.770019,0.925659,0.280762,-0.125122,0.549316,0.427246,-0.12207,5_Look_up_Parthib
1425341,0.9527588,-0.3215332,0.013061524,-0.1220703,-0.6713866,-1.9531248,0.930176,0.283814,-0.122925,0.305176,1.159668,0.244141,5_Look_up_Parthib
1425381,0.9517824,-0.3151856,0.01098633,-0.427246,-0.3051758,-1.8310544,0.930542,0.283814,-0.123169,0.427246,0.671386,1.098633,5_Look_up_Parthib
1425421,0.952881,-0.3118897,0.01123047,-0.3051758,0.2441406,-1.647949,0.936524,0.280274,-0.123047,-0.061035,1.037598,1.037598,5_Look_up_Parthib
1425461,0.9516602,-0.3083496,0.013305664,-0.3662109,0.6713866,-1.098633,0.939453,0.279419,-0.119019,0.12207,0.549316,1.342773,5_Look_up_Parthib
1425501,0.958252,-0.3121338,0.013916016,0.1220703,0.4882812,-1.2207032,0.941895,0.278809,-0.119141,0.0,-0.12207,1.342773,5_Look_up_Parthib
1425541,0.9572754,-0.3114014,0.01464844,-0.18310544,0.2441406,-1.037598,0.937134,0.274414,-0.120972,0.12207,-0.488281,1.098633,5_Look_up_Parthib
1425581,0.9569092,-0.3146973,0.012695314,-0.2441406,0.0,-0.854492,0.937134,0.275391,-0.12085,0.244141,-0.488281,1.281738,5_Look_up_Parthib
1425621,0.9470216,-0.3127442,0.013549806,-0.06103514,-0.06103514,-1.159668,0.93689,0.273438,-0.122559,0.0,-0.488281,0.671386,5_Look_up_Parthib
1425661,0.9465334,-0.3112794,0.013549806,-0.427246,0.2441406,-1.8920896,0.934937,0.279541,-0.122681,0.061035,0.12207,0.488281,5_Look_up_Parthib
1425701,0.959717,-0.3115235,0.016235352,-0.2441406,0.3662109,-2.197266,0.930054,0.276611,-0.120483,0.12207,0.488281,0.793457,5_Look_up_Parthib
1425741,0.9549562,-0.3021241,0.01586914,-0.5493164,0.2441406,-1.770019,0.936035,0.27417,-0.122314,0.488281,0.183105,1.770019,5_Look_up_Parthib
1425781,0.9576416,-0.3024903,0.0144043,0.0,0.427246,-2.624511,0.938721,0.274536,-0.12207,-0.12207,-0.12207,2.075196,5_Look_up_Parthib
1425821,0.9678956,-0.3067627,0.016235352,-0.1220703,0.4882812,-0.9765624,0.934448,0.267944,-0.119751,-0.305176,0.183105,1.464844,5_Look_up_Parthib
1425861,0.9569092,-0.3018799,0.0189209,-0.2441406,0.3051758,0.3051758,0.951782,0.265991,-0.120239,0.0,-0.427246,2.319336,5_Look_up_Parthib
1425901,0.9609376,-0.3051758,0.01574707,0.3051758,-0.06103514,-0.2441406,0.946655,0.269898,-0.122803,-0.061035,-0.793457,0.549316,5_Look_up_Parthib
1425941,0.9552004,-0.3065186,0.016479492,0.427246,-0.6103516,0.0,0.937256,0.268433,-0.122437,-0.12207,-0.854492,-0.427246,5_Look_up_Parthib
1425981,0.9501954,-0.3079834,0.01550293,0.854492,-0.6103516,-0.1220703,0.932129,0.269409,-0.120972,0.549316,-0.12207,-0.12207,5_Look_up_Parthib
1426021,0.9488526,-0.3101807,0.01574707,0.3662109,-0.6713866,-1.037598,0.936035,0.27356,-0.121338,0.549316,0.488281,-0.793457,5_Look_up_Parthib
1426061,0.949463,-0.3110352,0.016967776,0.4882812,0.06103514,-1.708984,0.930054,0.273316,-0.123291,1.037598,0.854492,-0.305176,5_Look_up_Parthib
1426101,0.9605714,-0.3083496,0.01867676,0.18310544,0.1220703,-1.9531248,0.932251,0.270996,-0.123291,0.793457,1.220704,0.244141,5_Look_up_Parthib
1426141,0.9572754,-0.303833,0.016723632,-0.06103514,0.3051758,-1.159668,0.940064,0.2677,-0.122314,0.671386,0.427246,1.525878,5_Look_up_Parthib
1426181,0.9523926,-0.2993164,0.01818848,-0.427246,0.5493164,-1.281738,0.94397,0.268677,-0.124512,0.183105,0.244141,1.525878,5_Look_up_Parthib
1426221,0.9591066,-0.2979737,0.02136231,-0.3051758,0.854492,-0.5493164,0.938965,0.263062,-0.120239,0.305176,0.061035,0.854492,5_Look_up_Parthib
1426261,0.9655762,-0.2995606,0.020141608,-0.6103516,0.7324218,0.2441406,0.945435,0.260986,-0.119507,0.12207,-0.549316,0.976562,5_Look_up_Parthib
1426301,0.963379,-0.2944336,0.02258301,0.06103514,0.0,0.18310544,0.947266,0.260498,-0.122559,-0.12207,-1.342773,0.610352,5_Look_up_Parthib
1426341,0.9614258,-0.3040772,0.01940918,0.6713866,-0.7324218,-0.2441406,0.940186,0.261475,-0.122925,0.366211,-0.671386,-0.305176,5_Look_up_Parthib
1426381,0.953125,-0.3035889,0.02111817,0.793457,-0.6103516,0.2441406,0.933106,0.261841,-0.123413,0.061035,-0.793457,-0.549316,5_Look_up_Parthib
1426421,0.9537354,-0.3088379,0.02258301,0.427246,-0.9765624,-0.793457,0.940918,0.267456,-0.123291,0.915527,0.915527,-0.488281,5_Look_up_Parthib
1426461,0.9558106,-0.3067627,0.01916504,-0.3662109,-1.2207032,-0.9765624,0.93457,0.263306,-0.123779,0.610352,1.037598,-0.732422,5_Look_up_Parthib
1426501,0.9533692,-0.2998047,0.01586914,-0.4882812,-0.9155272,-0.6713866,0.933594,0.264038,-0.125977,0.427246,0.610352,-0.12207,5_Look_up_Parthib
1426541,0.95813,-0.2966309,0.01574707,-0.427246,-0.4882812,-1.098633,0.937134,0.26355,-0.122803,0.061035,1.098633,0.061035,5_Look_up_Parthib
1426581,0.966919,-0.3016358,0.013183596,0.18310544,-0.3662109,-0.6713866,0.94043,0.266113,-0.119019,0.061035,0.915527,-0.061035,5_Look_up_Parthib
1426621,0.95813,-0.300293,0.01464844,0.1220703,-0.3662109,0.7324218,0.948364,0.26648,-0.116943,0.0,0.12207,0.732422,5_Look_up_Parthib
1426661,0.9571534,-0.3026124,0.014038088,0.7324218,-0.18310544,0.6103516,0.944336,0.267578,-0.116577,0.244141,0.305176,-0.183105,5_Look_up_Parthib
1426701,0.9492188,-0.3033448,0.016967776,0.427246,-0.06103514,0.6103516,0.939942,0.265625,-0.117554,0.915527,0.427246,-0.976562,5_Look_up_Parthib
1426741,0.9558106,-0.3112794,0.016967776,0.18310544,-0.2441406,0.427246,0.939209,0.268066,-0.117676,0.854492,0.061035,-0.915527,5_Look_up_Parthib
1426781,0.95105,-0.3079834,0.0177002,-0.1220703,-0.4882812,-0.06103514,0.935059,0.267944,-0.119751,1.342773,-0.244141,-0.854492,5_Look_up_Parthib
1426821,0.958252,-0.3079834,0.016845708,-0.1220703,-0.18310544,-0.5493164,0.929077,0.268677,-0.123657,0.671386,0.061035,-0.610352,5_Look_up_Parthib
1426861,0.9624024,-0.30542,0.015625,-0.7324218,-0.4882812,-0.2441406,0.937256,0.269287,-0.121704,0.0,0.305176,-0.305176,5_Look_up_Parthib
1426901,0.9539796,-0.3041993,0.012207032,-0.2441406,-0.3662109,-0.18310544,0.939697,0.267944,-0.121216,0.0,-0.366211,0.305176,5_Look_up_Parthib
1426941,0.9517824,-0.3024903,0.011962892,0.1220703,0.06103514,-0.4882812,0.939575,0.270142,-0.118286,-0.183105,0.366211,-0.488281,5_Look_up_Parthib
1426981,0.9543458,-0.3033448,0.015991216,0.427246,0.3662109,-0.18310544,0.935669,0.270508,-0.116089,0.366211,0.0,-0.12207,5_Look_up_Parthib
1427021,0.9550782,-0.3049317,0.020629884,0.7324218,0.2441406,-0.4882812,0.938843,0.270752,-0.115967,0.854492,0.12207,0.244141,5_Look_up_Parthib
1427061,0.9637452,-0.3062744,0.020629884,0.7324218,-0.3051758,-0.793457,0.937256,0.268799,-0.119751,0.732422,-0.549316,0.366211,5_Look_up_Parthib
1427101,0.9589844,-0.3060303,0.01965332,0.6103516,-0.9155272,-0.5493164,0.938232,0.265747,-0.122681,0.671386,-0.488281,0.427246,5_Look_up_Parthib
1427141,0.954712,-0.3043213,0.01843262,1.037598,-0.9765624,-0.5493164,0.936157,0.267456,-0.123779,1.098633,0.183105,0.366211,5_Look_up_Parthib
1427181,0.9571534,-0.3074952,0.020629884,0.9765624,-0.854492,-0.4882812,0.937744,0.27002,-0.122314,1.159668,1.098633,-0.305176,5_Look_up_Parthib
1427221,0.9570314,-0.3090821,0.02136231,0.6713866,-0.9155272,-0.427246,0.939697,0.267822,-0.120605,1.220704,0.915527,-0.12207,5_Look_up_Parthib
1427261,0.9549562,-0.3082276,0.01843262,0.0,-1.281738,-0.854492,0.940308,0.269287,-0.124023,1.403808,0.854492,-0.061035,5_Look_up_Parthib
1427301,0.9578858,-0.305542,0.01501465,-0.3051758,-1.037598,-1.098633,0.935181,0.264282,-0.122681,0.732422,1.098633,-0.610352,5_Look_up_Parthib
1427341,0.959717,-0.3017578,0.01489258,-0.2441406,-0.5493164,-0.427246,0.938477,0.266602,-0.121582,0.305176,1.159668,-0.12207,5_Look_up_Parthib
1427381,0.9642334,-0.3076172,0.012451172,-0.18310544,-0.6713866,0.3051758,0.945435,0.267944,-0.11731,0.061035,1.037598,0.12207,5_Look_up_Parthib
1427421,0.95459,-0.3039551,0.012207032,-0.1220703,-0.6103516,0.6103516,0.944214,0.266602,-0.115601,0.061035,0.244141,-0.12207,5_Look_up_Parthib
1427461,0.9523926,-0.30896,0.01074219,0.18310544,-0.5493164,0.3662109,0.942261,0.272217,-0.11731,-0.061035,0.305176,-1.098633,5_Look_up_Parthib
1427502,0.949585,-0.3078614,0.012451172,0.0,-0.3051758,0.06103514,0.937134,0.271973,-0.114624,0.244141,0.244141,-1.037598,5_Look_up_Parthib
1427541,0.9520264,-0.3070069,0.014160156,-0.06103514,-0.5493164,-0.4882812,0.93335,0.272705,-0.114502,0.488281,0.305176,-0.732422,5_Look_up_Parthib
1427581,0.9541016,-0.3057862,0.0144043,-0.3051758,-0.427246,-1.037598,0.931641,0.273804,-0.116089,0.366211,0.061035,-0.366211,5_Look_up_Parthib
1427621,0.959839,-0.3061524,0.012207032,-0.5493164,-0.3051758,-0.9155272,0.932739,0.267578,-0.116699,0.305176,0.244141,0.061035,5_Look_up_Parthib
1427661,0.9561768,-0.3049317,0.013183596,-0.18310544,-0.3662109,-1.037598,0.942505,0.270752,-0.116333,0.305176,0.488281,0.549316,5_Look_up_Parthib
1427701,0.9541016,-0.3049317,0.012207032,-0.3662109,-0.5493164,-0.7324218,0.942139,0.27124,-0.11499,-0.12207,0.12207,0.488281,5_Look_up_Parthib
1427741,0.954712,-0.2999268,0.012817384,-0.427246,-0.18310544,-0.854492,0.936035,0.269165,-0.115967,0.061035,0.244141,0.366211,5_Look_up_Parthib
1427781,0.95813,-0.3024903,0.012084964,-0.2441406,0.06103514,-0.854492,0.938477,0.268555,-0.114746,0.12207,0.671386,0.244141,5_Look_up_Parthib
1427821,0.9586182,-0.300171,0.014038088,-0.2441406,-0.1220703,-0.7324218,0.942261,0.268555,-0.113281,0.0,0.12207,0.488281,5_Look_up_Parthib
1427861,0.9638672,-0.3022461,0.013183596,-0.3662109,-0.3662109,-0.854492,0.940918,0.267944,-0.113281,0.244141,-0.12207,0.732422,5_Look_up_Parthib
1427901,0.9604494,-0.2983399,0.011962892,-0.4882812,-0.5493164,-0.427246,0.937134,0.262817,-0.114014,0.0,0.183105,0.366211,5_Look_up_Parthib
1427941,0.9610596,-0.3022461,0.01159668,-0.06103514,-0.6713866,0.18310544,0.945068,0.266968,-0.114746,0.12207,0.366211,0.366211,5_Look_up_Parthib
1427981,0.9537354,-0.3013916,0.01049805,0.3662109,-0.9155272,-0.4882812,0.940552,0.266724,-0.112793,0.183105,0.183105,-0.12207,5_Look_up_Parthib
1428021,0.956299,-0.3056641,0.009277344,-0.06103514,-0.6103516,-0.2441406,0.9375,0.268311,-0.111816,0.305176,0.549316,-0.732422,5_Look_up_Parthib
1428061,0.9556886,-0.2989502,0.01074219,-0.3662109,-0.6713866,-0.06103514,0.938599,0.269653,-0.112671,0.427246,0.549316,-0.244141,5_Look_up_Parthib
1428101,0.9606934,-0.303833,0.009033204,-0.3051758,-0.427246,-0.9155272,0.942139,0.270386,-0.112549,0.366211,0.610352,-0.305176,5_Look_up_Parthib
1428141,0.9676514,-0.3074952,0.009399414,-0.18310544,-0.427246,0.1220703,0.937012,0.264648,-0.112183,-0.183105,0.366211,-0.549316,5_Look_up_Parthib
1428181,0.9517824,-0.3024903,0.008178714,-0.06103514,-0.1220703,0.854492,0.95044,0.27063,-0.111694,0.183105,0.366211,0.244141,5_Look_up_Parthib
1428221,0.949585,-0.3059082,0.005859376,0.18310544,-0.1220703,0.06103514,0.947266,0.272217,-0.11145,-0.244141,-0.061035,-0.854492,5_Look_up_Parthib
1428261,0.9550782,-0.3092042,0.008422854,0.18310544,0.1220703,-0.3662109,0.934082,0.272827,-0.109985,0.244141,-0.366211,-1.220704,5_Look_up_Parthib
1428301,0.9525148,-0.3065186,0.01074219,-0.06103514,0.06103514,-0.4882812,0.931763,0.275146,-0.109619,0.488281,0.0,-0.305176,5_Look_up_Parthib
1428341,0.9589844,-0.3073731,0.009399414,-0.427246,-0.18310544,-0.854492,0.936768,0.273193,-0.111328,0.183105,-0.244141,0.12207,5_Look_up_Parthib
1428381,0.9605714,-0.3050538,0.009155274,-0.2441406,-0.1220703,-0.5493164,0.935547,0.27124,-0.113159,0.244141,-0.427246,0.183105,5_Look_up_Parthib
