timestamp,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2,activity
1441139,-0.7281494,-0.649048,-0.15161136,-0.4882812,0.06103514,-0.4882812,-0.691162,0.719116,-0.120361,0.366211,0.305176,-0.244141,6_look_down_Adarsh
1441179,-0.7216798,-0.6501466,-0.1529541,-0.1220703,-0.06103514,-0.06103514,-0.695435,0.716309,-0.120361,-0.12207,0.061035,-0.12207,6_look_down_Adarsh
1441219,-0.721924,-0.6497804,-0.15161136,0.0,-0.793457,0.0,-0.694336,0.717774,-0.118408,0.061035,-0.427246,-0.183105,6_look_down_Adarsh
1441259,-0.727295,-0.659424,-0.1514893,-0.3662109,-1.037598,0.18310544,-0.696778,0.716797,-0.118408,0.366211,0.0,-0.549316,6_look_down_Adarsh
1441299,-0.7281494,-0.647461,-0.1534424,-0.6713866,0.4882812,-0.4882812,-0.697388,0.716187,-0.121338,0.549316,0.488281,-0.915527,6_look_down_Adarsh
1441339,-0.717041,-0.6450196,-0.15368652,-0.3662109,-0.3051758,-0.6103516,-0.690796,0.715088,-0.121216,-0.305176,0.061035,-0.610352,6_look_down_Adarsh
1441379,-0.7243654,-0.6523438,-0.1523438,-0.4882812,-1.708984,-0.7324218,-0.69812,0.714844,-0.118652,0.366211,-0.488281,0.183105,6_look_down_Adarsh
1441419,-0.7296144,-0.6534424,-0.1506348,-0.3662109,-0.6713866,-0.427246,-0.702148,0.717774,-0.116821,1.098633,0.976562,-0.244141,6_look_down_Adarsh
1441459,-0.7286378,-0.650757,-0.1523438,-1.037598,0.06103514,-0.4882812,-0.688965,0.717652,-0.118408,0.244141,1.098633,-0.427246,6_look_down_Adarsh
1441499,-0.7227784,-0.6468506,-0.1542969,-0.7324218,0.18310544,0.0,-0.691895,0.712158,-0.121216,-0.12207,0.12207,-0.244141,6_look_down_Adarsh
1441539,-0.723755,-0.6461182,-0.1542969,-0.427246,-0.3662109,-0.3662109,-0.69397,0.719727,-0.118286,-0.366211,-0.549316,-0.244141,6_look_down_Adarsh
1441579,-0.7266846,-0.6530762,-0.1529541,-0.3662109,-0.793457,-0.1220703,-0.696533,0.715942,-0.115967,-0.183105,-0.183105,-0.244141,6_look_down_Adarsh
1441619,-0.7368164,-0.6466066,-0.1525879,-0.793457,-0.6713866,-0.3662109,-0.696533,0.715942,-0.115967,-0.183105,-0.183105,-0.244141,6_look_down_Adarsh
1441659,-0.7283936,-0.6484376,-0.15405276,-0.6103516,0.1220703,-1.037598,-0.69873,0.717652,-0.119263,0.488281,0.12207,-0.549316,6_look_down_Adarsh
1441699,-0.7244874,-0.6452638,-0.15454104,-0.4882812,-0.6103516,-1.098633,-0.701904,0.711792,-0.118896,-0.061035,0.549316,-0.732422,6_look_down_Adarsh
1441739,-0.730835,-0.650757,-0.15625,-0.793457,-0.3051758,-0.854492,-0.699951,0.716064,-0.117798,-0.12207,-0.12207,0.061035,6_look_down_Adarsh
1441779,-0.7279054,-0.643799,-0.1547852,0.18310544,-0.06103514,-0.854492,-0.69751,0.713379,-0.116699,0.12207,0.610352,0.061035,6_look_down_Adarsh
1441819,-0.725708,-0.654297,-0.15332032,-0.18310544,0.2441406,-0.7324218,-0.694702,0.7229,-0.11438,-0.061035,-0.061035,0.12207,6_look_down_Adarsh
1441859,-0.7277834,-0.6479494,-0.1534424,-0.3051758,0.3662109,-0.427246,-0.694946,0.713135,-0.117798,0.488281,-0.12207,0.427246,6_look_down_Adarsh
